Event,Probability,Word Order,Eta1,Eta2,I1,I2,Deviation Score
alice drink coffee,0.07,VSO,3.629653500167427662264599658942491980,0.881290899230692748462166404189262930,0.981647970363805408167783170641866020,2.748362600936734913802433254753229050,0.394008758210765030091581375528085300
alice drink coffee,0.07,VOS,3.629653500167427662264599658942491980,1.77832835373141156487748500215834434380745648117249468037952051047710,0.981647970363805408167783170641866020,1.85132514643601609738711465678414763619254351882750531962047948952290,0.180681914865983423668602150294963000
alice drink coffee,0.07,OVS,1.77832835373141156487748500215834434380745648117249468037952051047710,1.77832835373141156487748500215834434380745648117249468037952051047710,2.83297311679982150555489782742601365619254351882750531962047948952290,0E-68,0.500000000000000000000000000000000025
alice drink coffee,0.07,OSV,1.77832835373141156487748500215834434380745648117249468037952051047710,0.0,2.83297311679982150555489782742601365619254351882750531962047948952290,1.77832835373141156487748500215834434380745648117249468037952051047710,0.500000000000000000000000000000000025
alice drink cola,0.03,SVO,2.183383098229013520688673299448357500,0.881290899230692748462166404189262930,2.427918372302219549743709530136000500,1.302092198998320772226506895259094570,0.289772167733326754498345617270431975
alice drink cola,0.03,SOV,2.183383098229013520688673299448357500,0.0,2.427918372302219549743709530136000500,2.183383098229013520688673299448357500,0.500000000000000000000000000000000025
alice drink cola,0.03,VSO,3.629653500167427662264599658942491980,0.881290899230692748462166404189262930,0.981647970363805408167783170641866020,2.748362600936734913802433254753229050,0.394008758210765030091581375528085300
alice drink cola,0.03,VOS,3.629653500167427662264599658942491980,2.125814583693911513168777434712478256601499971153745613164471889668400,0.981647970363805408167783170641866020,1.503838916473516149095822224230013723398500028846254386835528110331600,0.191501498203612093410554751724354500
alice drink cola,0.03,OVS,2.125814583693911513168777434712478256601499971153745613164471889668400,2.125814583693911513168777434712478256601499971153745613164471889668400,2.485486886837321557263605394871879743398500028846254386835528110331600,0E-69,0.500000000000000000000000000000000025
alice drink cola,0.03,OSV,2.125814583693911513168777434712478256601499971153745613164471889668400,0.0,2.485486886837321557263605394871879743398500028846254386835528110331600,2.125814583693911513168777434712478256601499971153745613164471889668400,0.500000000000000000000000000000000025
bob eat apple,0.02,SVO,2.72192809488736221408253799550463280,1.52192809488736227179033963106317000,1.889373375643870856349844834079725200,1.19999999999999994229219836444146280,0.114590063472756579076774549197963075
bob eat apple,0.02,SOV,2.72192809488736221408253799550463280,0.0,1.889373375643870856349844834079725200,2.72192809488736221408253799550463280,0.500000000000000000000000000000000025
bob eat apple,0.02,VSO,3.592949440895038325674491665996100580,1.52192809488736227179033963106317000,1.018352029636194744757891163588257420,2.071021346007676053884152034932930580,0.173677927774614589831185881485399725
bob eat apple,0.02,VOS,3.592949440895038325674491665996100580,1.88431352779979892171142357107099489644722964569637419288858132193060,1.018352029636194744757891163588257420,1.70863591309523940396306809492510568355277035430362580711141867806940,0.168742533053620283935316447104380450
bob eat apple,0.02,OVS,1.88431352779979892171142357107099489644722964569637419288858132193060,1.88431352779979892171142357107099489644722964569637419288858132193060,2.72698794273143414872095925851336310355277035430362580711141867806940,0E-68,0.500000000000000000000000000000000025
bob eat apple,0.02,OSV,1.88431352779979892171142357107099489644722964569637419288858132193060,0.0,2.72698794273143414872095925851336310355277035430362580711141867806940,1.88431352779979892171142357107099489644722964569637419288858132193060,0.500000000000000000000000000000000025
bob eat cake,0.04,SVO,2.72192809488736221408253799550463280,1.52192809488736227179033963106317000,1.889373375643870856349844834079725200,1.19999999999999994229219836444146280,0.114590063472756579076774549197963075
bob eat cake,0.04,SOV,2.72192809488736221408253799550463280,0.0,1.889373375643870856349844834079725200,2.72192809488736221408253799550463280,0.500000000000000000000000000000000025
bob eat cake,0.04,VSO,3.592949440895038325674491665996100580,1.52192809488736227179033963106317000,1.018352029636194744757891163588257420,2.071021346007676053884152034932930580,0.173677927774614589831185881485399725
bob eat cake,0.04,VOS,3.592949440895038325674491665996100580,1.75271527897970491565636559224484471361736099091839732325232966440440,1.018352029636194744757891163588257420,1.84023416191533341001812607375125586638263900908160267674767033559560,0.168742533053620283935316447104380375
bob eat cake,0.04,OVS,1.75271527897970491565636559224484471361736099091839732325232966440440,1.75271527897970491565636559224484471361736099091839732325232966440440,2.85858619155152815477601723733951328638263900908160267674767033559560,0E-68,0.500000000000000000000000000000000025
bob eat cake,0.04,OSV,1.75271527897970491565636559224484471361736099091839732325232966440440,0.0,2.85858619155152815477601723733951328638263900908160267674767033559560,1.75271527897970491565636559224484471361736099091839732325232966440440,0.500000000000000000000000000000000025
bob eat rice,0.04,SVO,2.72192809488736221408253799550463280,1.52192809488736227179033963106317000,1.889373375643870856349844834079725200,1.19999999999999994229219836444146280,0.114590063472756579076774549197963075
bob eat rice,0.04,SOV,2.72192809488736221408253799550463280,0.0,1.889373375643870856349844834079725200,2.72192809488736221408253799550463280,0.500000000000000000000000000000000025
bob eat rice,0.04,VSO,3.592949440895038325674491665996100580,1.52192809488736227179033963106317000,1.018352029636194744757891163588257420,2.071021346007676053884152034932930580,0.173677927774614589831185881485399725
bob eat rice,0.04,VOS,3.592949440895038325674491665996100580,1.993961544431619684903672317075026673999641669711445024298368697923840,1.018352029636194744757891163588257420,1.598987896463418640770819348921073906000358330288554975701631302076160,0.168742533053620283935316447104380450
